x,y,STN_ID,STATION_NAME,PROV_STATE_TERR_CODE,ENG_PROV_NAME,FRE_PROV_NAME,COUNTRY,LATITUDE,LONGITUDE,TIMEZONE,ELEVATION,CLIMATE_IDENTIFIER,TC_IDENTIFIER,WMO_IDENTIFIER,STATION_TYPE,NORMAL_CODE,PUBLICATION_CODE,DISPLAY_CODE,ENG_STN_OPERATOR_ACRONYM,FRE_STN_OPERATOR_ACRONYM,ENG_STN_OPERATOR_NAME,FRE_STN_OPERATOR_NAME,FIRST_DATE,LAST_DATE,HLY_FIRST_DATE,HLY_LAST_DATE,DLY_FIRST_DATE,DLY_LAST_DATE,MLY_FIRST_DATE,MLY_LAST_DATE,HAS_MONTHLY_SUMMARY,HAS_NORMALS_DATA,HAS_HOURLY_DATA,,
-73.43472222,45.809444444444445,5237,L'ASSOMPTION,QC,QUEBEC,QUÉBEC,CAN,45.4834,-73.2605,EST,21,7014160,WEW,71524,Climate-Auto,C,1,4,ECCC - MSC,ECCC - SMC,Environment and Climate Change Canada - Meteorological Service of Canada,Environnement et Changement climatique Canada - Service météorologique du Canada,1930-01-01 00:00,2025-11-06 12:30,1994-09-07 08:00,2025-11-06 12:30,1930-01-01 00:00,2025-11-06 00:00,1930-01-01 00:00,1994-12-01 00:00,Y,N,Y,,
-71.50361111,46.90277777777778,5293,VALCARTIER A,QC,QUEBEC,QUÉBEC,CAN,46.541,-71.3013,EST,167.6,7018574,YOY,71716,N/A,G,1,8,DND,MDN,Department of National Defence,Ministère de la Défense nationale,1978-01-01 00:00,2025-11-06 12:30,1978-07-05 05:00,2025-11-06 12:30,1978-02-01 00:00,1981-04-30 00:00,1978-01-01 00:00,1981-12-01 00:00,Y,N,Y,,
-71.82361111,45.36888888888889,5397,LENNOXVILLE,QC,QUEBEC,QUÉBEC,CAN,45.2208,-71.4925,EST,181,7024280,WQH,71611,Climate-Auto,C,1,4,ECCC - MSC,ECCC - SMC,Environment and Climate Change Canada - Meteorological Service of Canada,Environnement et Changement climatique Canada - Service météorologique du Canada,1888-01-01 00:00:00,2025-11-06 12:30,1994-03-14 20:00,2025-11-06 12:30,1888-11-01 00:00:00,2025-11-06 00:00,1888-01-01 00:00:00,1995-10-01 00:00,Y,N,N,,
-75.99194444,46.27472222222222,5606,MANIWAKI AIRPORT,QC,QUEBEC,QUÉBEC,CAN,46.1629,-75.5931,EST,199.7,7034482,WMJ,71721,Climate-Auto,,,,ECCC - MSC,ECCC - SMC,Environment and Climate Change Canada - Meteorological Service of Canada,Environnement et Changement climatique Canada - Service météorologique du Canada,1972-01-01 00:00,2025-11-06 12:30,1994-02-01 02:00,2025-11-06 12:30,1993-06-21 00:00,2025-11-06 00:00,1972-01-01 00:00,2005-12-01 00:00,Y,N,Y,,
-60.06166667,50.16305555555556,5672,CAPE WHITTLE,QC,QUEBEC,QUÉBEC,CAN,50.0947,-60.0342,EST,7,7041100,WQW,71374,Climate-Auto,,1,9,ECCC - MSC,ECCC - SMC,Environment and Climate Change Canada - Meteorological Service of Canada,Environnement et Changement climatique Canada - Service météorologique du Canada,1963-01-01 00:00,2025-11-06 12:30,1994-02-03 10:00,2025-11-06 12:30,1963-09-01 00:00,2025-11-06 00:00,1963-01-01 00:00,1968-12-01 00:00,Y,N,N,,
-71,48.333333333333336,5889,BAGOTVILLE A,QC,QUEBEC,QUÉBEC,CAN,48.2,-71,EST,159.1,7060400,YBG,71727,N/A,A,1,1,DND,MDN,Department of National Defence,Ministère de la Défense nationale,1942-01-01 00:00,2025-11-06 12:30,1953-01-01 00:00,2025-11-06 12:30,1942-09-01 00:00,2025-11-06 00:00,1942-01-01 00:00,2017-12-01 00:00,Y,Y,Y,,
-71.16833333,49.84027777777778,5903,CHUTE-DES-PASSES,QC,QUEBEC,QUÉBEC,CAN,49.5025,-71.1006,EST,398.2,7061541,WDT,71522,Climate-Auto,G,1,8,ECCC - MSC,ECCC - SMC,Environment and Climate Change Canada - Meteorological Service of Canada,Environnement et Changement climatique Canada - Service météorologique du Canada,1960-01-01 00:00,2025-11-06 12:30,1994-08-01 08:00,2025-11-06 12:30,1960-03-01 00:00,2025-11-06 00:00,1960-01-01 00:00,1976-12-01 00:00,Y,N,N,,
-71.14250028,48.425003333333336,5911,JONQUIERE,QC,QUEBEC,QUÉBEC,CAN,48.2530012,-71.0833001,EST,135.6,7063370,WJO,71617,Climate-Auto,G,1,8,ECCC - MSC,ECCC - SMC,Environment and Climate Change Canada - Meteorological Service of Canada,Environnement et Changement climatique Canada - Service météorologique du Canada,1963-01-01 00:00,2025-11-06 12:30,1994-02-01 02:00,2025-11-06 12:30,1963-01-01 00:00,2025-11-06 00:00,1963-01-01 00:00,1975-12-01 00:00,Y,N,Y,,
-74.62416861,47.922224444444446,5966,PARENT,QC,QUEBEC,QUÉBEC,CAN,47.5520008,-74.3727007,EST,444.7,7075800,WPK,71726,Climate-Auto,F,1,7,ECCC - MSC,ECCC - SMC,Environment and Climate Change Canada - Meteorological Service of Canada,Environnement et Changement climatique Canada - Service météorologique du Canada,1943-01-01 00:00,2025-11-06 12:30,1953-01-01 07:00,2025-11-06 12:30,1943-07-01 00:00,2025-11-06 00:00,1943-01-01 00:00,1978-12-01 00:00,Y,N,Y,,
-79.10111111,46.709722222222226,5977,BARRAGE TEMISCAMINGUE,QC,QUEBEC,QUÉBEC,CAN,46.4235,-79.0604,EST,181.4,7080468,WBA,71732,Climate-Auto,C,1,4,ECCC - MSC,ECCC - SMC,Environment and Climate Change Canada - Meteorological Service of Canada,Environnement et Changement climatique Canada - Service météorologique du Canada,1910-01-01 00:00,2025-11-06 12:30,1997-09-24 14:00,2025-11-06 12:30,1910-04-01 00:00,2025-11-06 00:00,1910-01-01 00:00,1995-10-01 00:00,Y,N,N,,
-72.68333333,46.36666666666667,8321,TROIS-RIVIERES,QC,QUEBEC,QUÉBEC,CAN,46.22,-72.41,EST,62.2,7018563,GRQ,71729,Climate-Auto,,,,ECCC - MSC,ECCC - SMC,Environment and Climate Change Canada - Meteorological Service of Canada,Environnement et Changement climatique Canada - Service météorologique du Canada,1963-09-03 01:00,2025-11-06 12:30,1963-09-03 01:00,2025-11-06 12:30,2004-11-02 00:00,2025-11-06 00:00,,,Y,N,Y,,
-63.28361111,51.867222222222225,8404,LAC EON,QC,QUEBEC,QUÉBEC,CAN,51.5202,-63.1701,EST,588.9,704C64L,WEO,71421,Climate-Auto,,,,ECCC - MSC,ECCC - SMC,Environment and Climate Change Canada - Meteorological Service of Canada,Environnement et Changement climatique Canada - Service météorologique du Canada,1993-03-22 00:00,2025-11-06 12:30,1994-02-01 01:50,2025-11-06 12:30,1993-03-22 00:00,2025-11-06 00:00,,,Y,N,Y,,
